year_month,status,prod_total_volume,california,chile,mexico,peru,colombia,pcp,tavg,pdsi,phdi,zndx,pmdi,cdd,sp01,sp02,sp03,sp06,sp09,sp12,sp24,tmin,tmax
2018-04-01,actual,57742874,10978270,0,46764604,0,0,2.13,57.2,-2.63,-2.63,0.32,-1.65,20,0.62,1.04,-0.06,-0.71,-0.86,-0.98,0.77,44.3,70
2020-03-01,actual,56195818,9785442,0,46410376,0,0,3.19,48,-2.47,-2.47,-0.03,-2.42,0,0.2,-1.13,-1.35,-1.19,-1.2,-0.93,-0.06,37.7,58.2
2018-10-01,actual,44622910,1459548,4141118,38216313,805931,0,0.7,60.9,-3.04,-3.04,-1.24,-3.04,45,-0.43,-0.9,-1.12,-1.41,-0.48,-1.01,0.41,48.3,73.5
2018-10-01,actual,43424770,332800,2480207,40611763,0,0,0.7,60.9,-3.04,-3.04,-1.24,-3.04,45,-0.43,-0.9,-1.12,-1.41,-0.48,-1.01,0.41,48.3,73.5
2019-07-01,actual,51585051,9892498,0,27328014,14364539,0,0.08,75.6,-0.11,2.56,-0.32,2.37,247,-0.75,-1.21,1.57,1.57,1.11,0.95,0.02,61.1,90
2019-11-01,actual,39597532,0,234344,39363186,0,0,1.61,53,-1.3,-1.3,-1.68,-1.3,6,-0.43,-1.05,-0.93,-1.25,0.04,0.81,-0.15,40.4,65.6
2020-02-01,actual,50713581,5257159,0,45456422,0,0,0.21,49.2,-2.74,-2.74,-3.88,-2.74,0,-1.95,-1.9,-0.98,-1.29,-1.39,-0.81,0.16,36.4,62
2018-05-01,actual,43454036,13377497,0,29744685,331854,0,0.66,63,-2.42,-2.42,-0.17,-1.48,35,-0.16,0.35,0.93,-0.92,-0.91,-0.94,0.78,50.1,75.9
2018-03-01,actual,50628975,4863680,0,45765295,0,0,5.12,49,-3.05,-3.05,1.99,-2.23,1,1.03,-0.22,-0.31,-1.05,-1.07,-0.9,0.71,38.2,59.7
2019-06-01,actual,38519597,13700507,0,8653058,16166032,0,0.09,71.2,2.98,2.98,1.51,2.98,135,-0.91,1.63,0.76,1.41,1.03,0.97,0.02,57,85.4
2020-05-01,actual,57343819,17453801,0,39463348,426669,0,1.2,64.7,-1.67,-1.67,0.8,-1.09,74,0.65,0.62,0.42,-0.59,-0.91,-1.01,0,51,78.4
2018-04-01,actual,57879711,16473176,0,41406535,0,0,2.13,57.2,-2.63,-2.63,0.32,-1.65,20,0.62,1.04,-0.06,-0.71,-0.86,-0.98,0.77,44.3,70
2019-09-01,actual,44957024,1099090,2405413,40172513,1280008,0,0.61,68.9,-0.17,1.97,0.43,1.53,157,0.74,0.42,0.18,0.74,1.4,1.03,0.03,55.3,82.5
2018-08-01,actual,56626601,7234836,0,34221295,15170470,0,0.04,76.4,-2.71,-2.71,-1.66,-2.71,299,-1.35,-0.51,-1.14,0.79,-1.01,-1,0.78,61.8,91
2020-02-01,actual,45414983,2704489,0,42710494,0,0,0.21,49.2,-2.74,-2.74,-3.88,-2.74,0,-1.95,-1.9,-0.98,-1.29,-1.39,-0.81,0.16,36.4,62
2018-11-01,actual,44931673,0,3513150,41418523,0,0,2.81,52.6,-2.79,-2.79,-0.2,-2.79,8,0.35,0.03,-0.16,-0.39,0.46,-1.09,0.5,40.7,64.5
