date,avg_price,year_month,geography,type,prices_total_volume,units_4046,units_4225,units_4770,total_bags,s_bags,l_bags,xl_bags,pcp,tavg,pdsi,phdi,zndx,pmdi,cdd,sp01,sp02,sp03,sp06,sp09,sp12,sp24,tmin,tmax
1/22/2017,1.52,1/1/2017,Syracuse,conventional,79859.72,1341,52570.04,16.27,25932.41,24856.47,1075.94,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/15/2017,1.4,1/1/2017,Syracuse,conventional,68598.22,1109.08,37401.39,21,30066.75,29465.36,601.39,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/22/2017,0.68,1/1/2017,Houston,conventional,1119168.1,798585.87,170357.81,4719.74,145504.68,79246.83,66254.52,3.33,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/2/2017,1.07,1/1/2017,LosAngeles,organic,99950.32,15830.84,28951.76,1.56,55166.16,43159.57,12006.59,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/15/2017,1.05,1/1/2017,Plains,conventional,2064194.02,925668.48,529337.88,6259.33,602928.33,545116.32,46315.29,11496.72,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/15/2017,1.88,1/1/2017,Boston,organic,17012.28,12.3,1315.1,0,15684.88,15554.34,130.54,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/15/2017,1.6,1/1/2017,Louisville,organic,1959.1,13.85,1318.58,0,626.67,626.67,0,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/8/2017,0.89,1/1/2017,LosAngeles,conventional,3120961.67,969758.4,692908.87,72814.14,1385480.26,1288525.3,72837.94,24117.02,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/2/2017,0.98,1/1/2017,Miami/FtLauderdale,conventional,787406.1,309692.08,199635.67,540.23,277538.12,84253.42,193284.7,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/15/2017,0.76,1/1/2017,LosAngeles,conventional,3363407.98,1075572.75,703853.31,61161.98,1522819.94,1442445.76,59205.75,21168.43,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/8/2017,1.15,1/1/2017,Jacksonville,conventional,141693.33,47783.4,23081.48,148.91,70679.54,29267.91,41411.63,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/2/2017,1.28,1/1/2017,Orlando,organic,5686.95,558.15,26.59,0,5102.21,2530,2572.21,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/8/2017,1.43,1/1/2017,TotalUS,organic,990721.83,117721.87,283532.68,8697.35,580769.93,379088.19,201681.74,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/29/2017,2.02,1/1/2017,Sacramento,organic,6748.27,1652.72,4786.42,12.15,296.98,296.98,0,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/2/2017,1.59,1/1/2017,Louisville,organic,1913.69,5.04,1395.31,0,513.34,513.34,0,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/29/2017,1.11,1/1/2017,SouthCarolina,conventional,395411.39,174671.54,85091.43,3175.63,132472.79,91776.59,40642.03,54.17,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/15/2017,1.27,1/1/2017,Orlando,conventional,356960.5,148500.59,72248.12,175.19,136036.6,69128.81,66907.79,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/2/2017,1.46,1/1/2017,California,organic,164137.04,31267.65,65430.27,6.16,67432.96,50963.98,16468.98,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/8/2017,1.29,1/1/2017,NewYork,conventional,1532074.69,18585.1,1207607.23,6403.22,299479.14,258470.17,40822.02,186.95,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/29/2017,0.93,1/1/2017,LasVegas,conventional,309146.07,120542.24,45790.67,7716.2,135096.96,59095.7,76001.26,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/8/2017,0.86,1/1/2017,Louisville,conventional,118310.74,2489.41,55251.9,397.86,60171.57,17859.61,42296.4,15.56,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/2/2017,1.44,1/1/2017,GreatLakes,organic,104153.91,4104.86,69800.29,0,30248.76,23593.03,6655.73,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
