,date,avg_price,geography,type,units_4046,units_4225,units_4770,s_bags,l_bags,xl_bags,pcp,tavg,pdsi,phdi,zndx,pmdi,cdd,sp01,sp02,sp03,sp06,sp09,sp12,sp24,tmin,tmax,year,month
94,2017-01-29,1.22,Seattle,organic,636.48,10502.66,58.27,1544.23,33002.38,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
95,2017-01-29,0.86,Seattle,conventional,114095.9,187068.73,478.51,496669.13,40312.44,306.27,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
96,2017-01-29,1.36,Syracuse,conventional,1270.55,44228.54,101.0,25395.9,813.69,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
97,2017-01-15,0.76,Cincinnati/Dayton,conventional,2939.57,125731.86,994.43,29095.07,187759.83,3.02,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
98,2017-01-22,1.2,Tampa,organic,252.11,33.77,0.0,4266.66,2387.17,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
99,2017-01-29,1.46,Hartford/Springfield,conventional,4741.29,220159.57,3935.43,62167.99,1025.61,680.49,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
100,2017-01-08,1.15,Sacramento,conventional,156654.26,276138.98,642.55,66987.7,4336.66,2045.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
101,2017-01-08,1.95,Harrisburg/Scranton,organic,403.32,226.87,8.73,6723.31,4.12,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
102,2017-01-08,1.26,NewOrleans/Mobile,organic,189.58,0.0,0.0,3309.59,1578.8,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
103,2017-01-22,1.0,Tampa,conventional,178179.3,151852.98,116.5,80110.89,137540.75,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
