year_month,date,status,prod_total_volume,region,prod_volume_region
11/1/2020,11/29/2020,projection,46408984,Mexico,45797755
9/1/2019,9/29/2019,actual,56281822,Mexico,52434131
6/1/2019,6/2/2019,actual,48758242,Mexico,29686713
8/1/2020,8/16/2020,actual,45333672,Mexico,28246903
4/1/2019,4/14/2019,actual,71757754,Mexico,60654534
8/1/2020,8/23/2020,actual,54176904,Mexico,39333180
7/1/2019,7/14/2019,actual,54169319,Peru,17398633
11/1/2018,11/11/2018,actual,7175415,Peru,0
4/1/2018,4/15/2018,actual,65017211,Peru,0
10/1/2018,10/21/2018,actual,41484288,Peru,0
5/1/2020,5/31/2020,actual,51667453,Peru,4171879
11/1/2018,11/25/2018,actual,70104497,Peru,0
2/1/2018,2/4/2018,actual,47371481,Peru,0
3/1/2018,3/11/2018,actual,52057338,Peru,0
3/1/2018,3/25/2018,actual,45807126,Peru,0
3/1/2019,3/3/2019,actual,56315469,Peru,0
10/1/2020,10/4/2020,actual,52210342,Peru,0
12/1/2019,12/15/2019,actual,48427351,Peru,0
2/1/2019,2/3/2019,actual,45231823,Peru,0
7/1/2018,7/29/2018,actual,49443206,Peru,16879405
5/1/2018,5/20/2018,actual,54804644,Peru,284446
4/1/2019,4/28/2019,actual,43710990,Peru,805931
6/1/2020,6/14/2020,actual,64385710,Peru,11425260
5/1/2019,5/12/2019,actual,45314468,Peru,1754085
9/1/2019,9/1/2019,actual,37090495,Peru,3365948
3/1/2019,3/24/2019,actual,47860338,Peru,0
8/1/2019,8/11/2019,actual,30887574,Peru,7490420
6/1/2018,6/17/2018,actual,50646896,Peru,6868495
7/1/2018,7/22/2018,actual,43482853,Peru,12088968
11/1/2019,11/10/2019,actual,43217649,Peru,0
4/1/2019,4/21/2019,actual,41226066,Peru,189631
6/1/2018,6/10/2018,actual,54216347,Peru,5580178
