year_month,geography,period,date,units_prior_year,units_current_year,unit_variance,dollars_prior_year,dollars_current_year,dollar_variance,avg_price_prior_year,avg_price_current_year,avg_price_variance,prod_total_volume,california,chile,mexico,peru,colombia
2018-02-01,GreatLakes,2,2018-02-25,17367361.16,19138943.96,0.102006447,17595614.61,19718725.17,0.120661347,1.013142667,1.030293271,0.016928123,53018743,5031685,0,47987058,0,0
2018-02-01,Detroit,2,2018-02-25,1922769.83,2213900.08,0.151411909,1769453.79,1985302.84,0.12198626,0.920262926,0.896744554,-0.025556144,53018743,5031685,0,47987058,0,0
2018-02-01,Portland,2,2018-02-25,2677952.44,3056218.92,0.141252128,2798940.89,3168992.99,0.132211474,1.045179462,1.036899866,-0.007921697,53018743,5031685,0,47987058,0,0
2018-02-01,TotalUS,2,2018-02-25,165940406.7,187263872.5,0.128500744,161826311.8,187003509.8,0.155581609,0.975207395,0.998609648,0.023997206,53018743,5031685,0,47987058,0,0
2018-02-01,Roanoke,2,2018-02-25,664301.17,851923.59,0.282435781,757987.48,807899.97,0.0658487,1.141029874,0.94832445,-0.168887273,53018743,5031685,0,47987058,0,0
2018-02-01,Boise,2,2018-02-25,360634.74,424105.2,0.175996522,432121.15,485021.91,0.122421131,1.198223859,1.143635848,-0.04555744,53018743,5031685,0,47987058,0,0
2018-02-01,Atlanta,2,2018-02-25,2542054.13,2866184.94,0.127507438,2408064.44,2723822.22,0.131125137,0.94729078,0.950330239,0.003208581,53018743,5031685,0,47987058,0,0
2018-02-01,Denver,2,2018-02-25,3630556.63,4277274.85,0.178131974,3818323.54,4156807.21,0.088647195,1.051718491,0.971835422,-0.075954801,53018743,5031685,0,47987058,0,0
2018-02-01,StLouis,2,2018-02-25,779622.47,886997.12,0.137726469,851065.66,989692.32,0.162885975,1.091638187,1.115778504,0.022113844,53018743,5031685,0,47987058,0,0
2018-02-01,Richmond/Norfolk,2,2018-02-25,1225620.15,1332711.24,0.087377064,1367406.22,1377312.91,0.007244877,1.115685166,1.033466867,-0.0736931,53018743,5031685,0,47987058,0,0
2018-02-01,Albany,2,2018-02-25,474327.41,545814.07,0.150711636,643283.21,727521.8,0.130951016,1.356200794,1.332911407,-0.017172521,53018743,5031685,0,47987058,0,0
2018-02-01,SanDiego,2,2018-02-25,2276259.27,2455977.68,0.078953401,2085059.89,2523228.8,0.210146918,0.916002811,1.027382627,0.121593312,53018743,5031685,0,47987058,0,0
