year_month,date,status,prod_total_volume,location,prod_volume
2019-06-01,2019-06-23,actual,43112741,mexico,12902910
2019-09-01,2019-09-22,actual,41138734,mexico,36676441
2020-05-01,2020-05-17,actual,54720342,mexico,38724426
2019-12-01,2019-12-22,actual,49600528,mexico,49422746
2020-07-01,2020-07-05,actual,55217288,mexico,26616471
2019-11-01,2019-11-17,actual,41304726,mexico,41214777
2020-04-01,2020-04-26,actual,70861471,mexico,53786674
2018-02-01,2018-02-18,actual,51204346,mexico,46939897
2018-07-01,2018-07-08,actual,54802659,mexico,34059160
2020-09-01,2020-09-27,actual,56022215,mexico,49431809
2020-10-01,2020-10-25,actual,55789244,mexico,52925105
2019-06-01,2019-06-16,actual,43165973,mexico,18987812
2018-04-01,2018-04-08,actual,57742874,mexico,46764604
2020-03-01,2020-03-01,actual,56195818,mexico,46410376
2020-12-01,2020-12-27,projection,38422754,mexico,38233248
2018-10-01,2018-10-07,actual,44622910,mexico,38216313
2018-10-01,2018-10-28,actual,43424770,mexico,40611763
2019-07-01,2019-07-21,actual,51585051,mexico,27328014
2019-11-01,2019-11-24,actual,39597532,mexico,39363186
2020-02-01,2020-02-16,actual,50713581,mexico,45456422
2018-05-01,2018-05-06,actual,43454036,mexico,29744685
2018-03-01,2018-03-04,actual,50628975,mexico,45765295
2019-06-01,2019-06-30,actual,38519597,mexico,8653058
2020-05-01,2020-05-03,actual,57343819,mexico,39463348
2020-12-01,2020-12-20,projection,50563073,mexico,50274359
2018-04-01,2018-04-29,actual,57879711,mexico,41406535
2019-09-01,2019-09-08,actual,44957024,mexico,40172513
2020-12-01,2020-12-13,projection,49965178,mexico,49544465
2018-08-01,2018-08-12,actual,56626601,mexico,34221295
2020-02-01,2020-02-02,actual,45414983,mexico,42710494
2018-11-01,2018-11-18,actual,44931673,mexico,41418523
2018-09-01,2018-09-16,actual,51398671,mexico,35153392
2019-02-01,2019-02-10,actual,39391270,mexico,38764278
2019-08-01,2019-08-04,actual,39624707,mexico,22270321
2018-07-01,2018-07-15,actual,52741471,mexico,27618124
2020-04-01,2020-04-19,actual,65731766,mexico,49706264
2018-03-01,2018-03-18,actual,51922869,mexico,47779482
2020-11-01,2020-11-29,projection,46408984,mexico,45797755
2019-09-01,2019-09-29,actual,56281822,mexico,52434131
2019-06-01,2019-06-02,actual,48758242,mexico,29686713
