,date,avg_price,geography,units_4046,units_4225,units_4770,s_bags,l_bags,xl_bags,pcp,tavg,pdsi,phdi,zndx,pmdi,cdd,sp01,sp02,sp03,sp06,sp09,sp12,sp24,tmin,tmax
114,2017-01-02,1.36,LasVegas,997.48,2950.94,0.0,5478.55,136.86,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
115,2017-01-08,0.8,Denver,8720.61,1639.28,53.69,3473.4,25516.44,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
116,2017-01-29,1.67,GrandRapids,47.74,1079.73,0.0,386.67,112.33,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
117,2017-01-15,2.7,SanFrancisco,5875.7,8476.23,0.0,2841.2,9.54,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
118,2017-01-29,0.8,Cincinnati/Dayton,241.14,4263.69,0.0,446.01,10877.16,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
119,2017-01-22,2.05,NewYork,6679.14,21232.95,1039.74,19821.48,282.8,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
120,2017-01-02,1.62,Plains,4547.17,15245.73,1366.36,17253.74,8629.21,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
121,2017-01-08,1.07,Houston,9041.57,47.04,0.0,11028.34,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
122,2017-01-08,1.73,Buffalo/Rochester,13.4,175.02,0.0,2000.75,1058.2,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
123,2017-01-22,0.84,Indianapolis,139.19,1459.2,0.0,1493.79,4216.07,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
